"ScaleFO","ScaleRes","O1","O2","value","uncertainty"
"CV->FO","0p5MuCt->Res","dphi^1","lndphi^3",-1267.7509037558577,3.4083807619031625
"CV->FO","0p5MuFac->Res","dphi^1","lndphi^3",-1245.3473706668556,3.4016970697850244
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^1","lndphi^3",-1267.1897400588186,2.6571272981759373
"CV->FO","0p5MuHard->Res","dphi^1","lndphi^3",-1279.1405250766081,3.4148383874757364
"CV->FO","0p5MuSoft->Res","dphi^1","lndphi^3",-1266.3711297522707,3.4089533625739334
"CV->FO","0p5NuBeam->Res","dphi^1","lndphi^3",-1268.5289451197668,3.4121841735806355
"CV->FO","0p5NuSoft->Res","dphi^1","lndphi^3",-1267.7738402486389,3.4051499911511613
"CV->FO","2C0_np->Res","dphi^1","lndphi^3",-1266.2960110288466,3.3993531069812994
"CV->FO","2kappa_np->Res","dphi^1","lndphi^3",-1268.6338483896702,3.4129156979364286
"CV->FO","2MuBeam->Res","dphi^1","lndphi^3",-1266.0091156513915,3.4113399834452527
"CV->FO","2MuBF->Res","dphi^1","lndphi^3",-1294.761964525699,3.425263143179983
"CV->FO","2MuCt->Res","dphi^1","lndphi^3",-1267.8711225389868,3.406969595510684
"CV->FO","2MuFac->Res","dphi^1","lndphi^3",-1252.9325551994962,3.411787224815649
"2MuFtran->FO","2MuFtran->Res","dphi^1","lndphi^3",-1269.2289602651833,3.217236240171603
"CV->FO","2MuHard->Res","dphi^1","lndphi^3",-1256.3516640016505,3.4054957376503903
"CV->FO","2MuSoft->Res","dphi^1","lndphi^3",-1275.5018679672728,3.41597899110957
"CV->FO","2NuBeam->Res","dphi^1","lndphi^3",-1267.6716522209665,3.40435151531234
"CV->FO","2NuSoft->Res","dphi^1","lndphi^3",-1268.638629818556,3.412261409327984
"0p5MuF->FO","CV->Res","dphi^1","lndphi^3",-1263.9212738572176,2.96906467295552
"0p5MuRF->FO","CV->Res","dphi^1","lndphi^3",-1263.2039215917262,5.684722760143114
"0p5MuR->FO","CV->Res","dphi^1","lndphi^3",-1265.8198363720976,2.6403002867864256
"2MuF->FO","CV->Res","dphi^1","lndphi^3",-1270.9367827197373,3.0840037547534322
"2MuRF->FO","CV->Res","dphi^1","lndphi^3",-1271.984797466353,3.2409785496890295
"2MuR->FO","CV->Res","dphi^1","lndphi^3",-1267.275602810962,3.1918264967320034
"CV->FO","CV->Res","dphi^1","lndphi^3",-1267.8897345291164,3.406444733860061
